model,layer,beta,condition,seeds,accuracy,valid_rate,prediction_changed_rate,mean_expected_count_shift,mean_direction_aligned_shift,mean_generated_shift_valid_only,mean_endpoint_probe_shift,mean_relative_state_norm
Qwen3-8B,10,1.0,ridge,10,1.0,1.0,0.0,-2.5335717175067885e-05,-2.5335717175067885e-05,0.0,1.5194504380226135,0.043858893132266485
Qwen3-8B,10,1.0,random,10,1.0,1.0,0.0,7.61452291126119e-05,7.61452291126119e-05,0.0,0.001197358313947916,0.04397127822975826
Qwen3-8B,11,-1.0,ridge,10,1.0,1.0,0.0,4.603164609537913e-05,-4.603164609537913e-05,0.0,-1.6108602046966554,0.044393601543039764
Qwen3-8B,11,-1.0,random,10,1.0,1.0,0.0,0.00011289213886032102,-0.00011289213886032102,0.0,7.58086796849966e-05,0.044266007432810665
Qwen3-8B,11,1.0,ridge,10,1.0,1.0,0.0,-0.0001497946579540166,-0.0001497946579540166,0.0,1.6099936842918396,0.04439129341054948
Qwen3-8B,11,1.0,random,10,1.0,1.0,0.0,-0.0001518840524090237,-0.0001518840524090237,0.0,0.00026290528476238253,0.04426563591519029
Qwen3-8B,12,-1.0,ridge,10,1.0,1.0,0.0,1.6767002017914479e-06,-1.6767002017914479e-06,0.0,-1.707005536556244,0.04451279860929026
Qwen3-8B,12,-1.0,random,10,1.0,1.0,0.0,0.00012769498138434087,-0.00012769498138434087,0.0,0.0017500607762485742,0.04451839416345158
Qwen3-8B,12,1.0,ridge,10,1.0,1.0,0.0,-9.918567916185061e-05,-9.918567916185061e-05,0.0,1.7077728629112243,0.044516599730388115
Qwen3-8B,12,1.0,random,10,1.0,1.0,0.0,-0.0007149498379872554,-0.0007149498379872554,0.0,-0.0019055004231631756,0.04451962598002385
Qwen3-8B,13,-1.0,ridge,10,1.0,1.0,0.0,-0.00011028339120691121,0.00011028339120691121,0.0,-1.6791897296905518,0.053129481119203126
Qwen3-8B,13,-1.0,random,10,1.0,1.0,0.0,5.710350538592479e-05,-5.710350538592479e-05,0.0,0.0018887722864747048,0.053114320455474484
Qwen3-8B,13,1.0,ridge,10,1.0,1.0,0.0,0.00013572275831532643,0.00013572275831532643,0.0,1.6795085668563843,0.0531321918092433
Qwen3-8B,13,1.0,random,10,1.0,1.0,0.0,-0.0002436694427263131,-0.0002436694427263131,0.0,-0.0019397277384996415,0.053114361766491126
Qwen3-8B,14,-1.0,ridge,10,1.0,1.0,0.0,5.749593534694064e-05,-5.749593534694064e-05,0.0,-1.3847085118293763,0.04138137671519881
Qwen3-8B,14,-1.0,random,10,1.0,1.0,0.0,3.6973998471889756e-05,-3.6973998471889756e-05,0.0,-0.0004294872283935547,0.0413946484894538
Qwen3-8B,14,1.0,ridge,10,1.0,1.0,0.0,-0.000520052659773862,-0.000520052659773862,0.0,1.3849056959152222,0.04138115313604146
Qwen3-8B,14,1.0,random,10,1.0,1.0,0.0,5.1382390832843686e-05,5.1382390832843686e-05,0.0,0.0006210746243596077,0.041395967199303725
Qwen3-8B,15,-1.0,ridge,10,1.0,1.0,0.0,7.968431795863928e-05,-7.968431795863928e-05,0.0,-1.502364158630371,0.04548895485488728
Qwen3-8B,15,-1.0,random,10,1.0,1.0,0.0,8.577166819190296e-05,-8.577166819190296e-05,0.0,0.001683983183465898,0.04557416068290378
Qwen3-8B,15,1.0,ridge,10,1.0,1.0,0.0,8.722246460051153e-05,8.722246460051153e-05,0.0,1.5024566769599914,0.04549409310975957
Qwen3-8B,15,1.0,random,10,1.0,1.0,0.0,-0.0002018160735716812,-0.0002018160735716812,0.0,-0.0015834958292543888,0.04557440321180385
Qwen3-8B,16,-1.0,ridge,10,1.0,1.0,0.0,-0.0004974828097289219,0.0004974828097289219,0.0,-3.204527807235718,0.09527424904612682
Qwen3-8B,16,-1.0,random,10,1.0,1.0,0.0,0.0005010078884283064,-0.0005010078884283064,0.0,0.0006192666478455067,0.09526032873024023
Qwen3-8B,16,1.0,ridge,10,1.0,1.0,0.0,8.099814229294289e-05,8.099814229294289e-05,0.0,3.2049495220184325,0.0952718155636989
Qwen3-8B,16,1.0,random,10,1.0,1.0,0.0,-0.0004264630466776165,-0.0004264630466776165,0.0,-0.0002936840057373047,0.09525812380505734
Qwen3-8B,17,-1.0,ridge,10,0.9,1.0,0.1,-0.043918443605981364,0.043918443605981364,-0.1,-5.315765237808227,0.15297114199376038
Qwen3-8B,17,-1.0,random,10,1.0,1.0,0.0,-0.003484776275312873,0.003484776275312873,0.0,0.0016547154635190963,0.15303093783783236
Qwen3-8B,17,1.0,ridge,10,1.0,1.0,0.0,-6.73884424971849e-05,-6.73884424971849e-05,0.0,5.315937423706055,0.15298481636376618
Qwen3-8B,17,1.0,random,10,1.0,1.0,0.0,2.8238798176971613e-05,2.8238798176971613e-05,0.0,-0.0014500536024570465,0.15303222776429384
Qwen3-8B,18,-1.0,ridge,10,1.0,1.0,0.0,0.00013171573221857358,-0.00013171573221857358,0.0,-6.843677282333374,0.2032152636268841
Qwen3-8B,18,-1.0,random,10,1.0,1.0,0.0,-0.00016803797365456675,0.00016803797365456675,0.0,0.0008252499625086785,0.20324020723464392
Qwen3-8B,18,1.0,ridge,10,0.4,1.0,0.6,-0.26665936996503903,-0.26665936996503903,-0.4,6.842787647247315,0.20322193747766923
Qwen3-8B,18,1.0,random,10,0.9,1.0,0.1,-0.10805143264167186,-0.10805143264167186,-0.1,-0.0010264717042446137,0.203242450795043
Qwen3-8B,19,-1.0,ridge,10,1.0,1.0,0.0,9.34016253342218e-05,-9.34016253342218e-05,0.0,-2.6003764152526854,0.09220264420073457
Qwen3-8B,19,-1.0,random,10,1.0,1.0,0.0,-2.529491568417086e-05,2.529491568417086e-05,0.0,-0.0006417621858417988,0.09222636335060042
Qwen3-8B,19,1.0,ridge,10,1.0,1.0,0.0,-0.005442612721292805,-0.005442612721292805,0.0,2.600394916534424,0.09221414400595902
Qwen3-8B,19,1.0,random,10,1.0,1.0,0.0,0.00013978217207983868,0.00013978217207983868,0.0,0.0004921834915876389,0.09222840399232723
Qwen3-8B,20,-1.0,ridge,10,1.0,1.0,0.0,0.0007996400758779832,-0.0007996400758779832,0.0,-6.144651222229004,0.23563802979363432
Qwen3-8B,20,-1.0,random,10,1.0,1.0,0.0,0.0011517134563647335,-0.0011517134563647335,0.0,-0.0031242437660694124,0.2355424312486054
Qwen3-8B,20,1.0,ridge,10,0.9,1.0,0.1,-0.08587358576744455,-0.08587358576744455,-0.1,6.144632148742676,0.2356195262670509
Qwen3-8B,20,1.0,random,10,1.0,1.0,0.0,-0.003192528742891465,-0.003192528742891465,0.0,0.0032075032591819762,0.23553108411453305
Qwen3-8B,21,-1.0,ridge,10,1.0,1.0,0.0,0.00011129444411395184,-0.00011129444411395184,0.0,-1.989765989780426,0.07018111921484914
Qwen3-8B,21,-1.0,random,10,1.0,1.0,0.0,9.097775787907381e-05,-9.097775787907381e-05,0.0,0.0016066107898950576,0.07014002433719252
Qwen3-8B,21,1.0,ridge,10,1.0,1.0,0.0,-0.00027001274073263916,-0.00027001274073263916,0.0,1.9898292660713195,0.07019033618692802
Qwen3-8B,21,1.0,random,10,1.0,1.0,0.0,3.832604939772999e-05,3.832604939772999e-05,0.0,-0.0017754414118826389,0.0701409659604973
Qwen3-8B,22,-1.0,ridge,10,1.0,1.0,0.0,8.191682822928925e-05,-8.191682822928925e-05,0.0,-3.4166767597198486,0.1473561131856313
Qwen3-8B,22,-1.0,random,10,1.0,1.0,0.0,0.00036967817478683607,-0.00036967817478683607,0.0,0.0010877568274736404,0.14738135098317193
Qwen3-8B,22,1.0,ridge,10,1.0,1.0,0.0,-1.0215608443608915e-06,-1.0215608443608915e-06,0.0,3.416841650009155,0.14733655665388773
Qwen3-8B,22,1.0,random,10,1.0,1.0,0.0,-1.884358909589601e-05,-1.884358909589601e-05,0.0,-0.0011017994955182075,0.14738542530914
Qwen3-8B,23,-1.0,ridge,10,1.0,1.0,0.0,1.939199267724234e-05,-1.939199267724234e-05,0.0,-4.8899084568023685,0.21647900583528407
Qwen3-8B,23,-1.0,random,10,1.0,1.0,0.0,0.000157715715172424,-0.000157715715172424,0.0,-0.00032246746122837066,0.21641298549280474
Qwen3-8B,23,1.0,ridge,10,1.0,1.0,0.0,0.0030887609762194844,0.0030887609762194844,0.0,4.89035267829895,0.216482785423005
Qwen3-8B,23,1.0,random,10,1.0,1.0,0.0,-6.775277195059104e-06,-6.775277195059104e-06,0.0,0.0002894878387451172,0.21641167481583162
Qwen3-8B,24,-1.0,ridge,10,1.0,1.0,0.0,1.8653747150310095e-05,-1.8653747150310095e-05,0.0,-4.848670434951782,0.19398707189297335
Qwen3-8B,24,-1.0,random,10,1.0,1.0,0.0,5.23439299528583e-05,-5.23439299528583e-05,0.0,0.003963335789740086,0.19407701807169925
Qwen3-8B,24,1.0,ridge,10,1.0,1.0,0.0,0.0007541395369822012,0.0007541395369822012,0.0,4.848623037338257,0.19397041604686643
Qwen3-8B,24,1.0,random,10,1.0,1.0,0.0,0.00020933776124585358,0.00020933776124585358,0.0,-0.0038777485489845274,0.19407671354978498
Qwen3-8B,25,-1.0,ridge,10,1.0,1.0,0.0,1.7091516658540586e-05,-1.7091516658540586e-05,0.0,-4.505111312866211,0.1719256979470603
Qwen3-8B,25,-1.0,random,10,1.0,1.0,0.0,0.00036974064673533924,-0.00036974064673533924,0.0,-0.0014368160627782345,0.17200644618986244
Qwen3-8B,25,1.0,ridge,10,1.0,1.0,0.0,0.0010490646954422367,0.0010490646954422367,0.0,4.5051483631134035,0.17191464387422056
Qwen3-8B,25,1.0,random,10,1.0,1.0,0.0,-0.0001442586345940633,-0.0001442586345940633,0.0,0.001565699651837349,0.1720097655953842
Qwen3-8B,26,-1.0,ridge,10,1.0,1.0,0.0,2.9603311539272425e-05,-2.9603311539272425e-05,0.0,-4.780000495910644,0.17273088814222404
Qwen3-8B,26,-1.0,random,10,1.0,1.0,0.0,9.325804666593385e-05,-9.325804666593385e-05,0.0,0.0011069215834140778,0.17268644924776888
Qwen3-8B,26,1.0,ridge,10,1.0,1.0,0.0,-0.0010961853325539561,-0.0010961853325539561,0.0,4.782497406005859,0.17275031127072776
Qwen3-8B,26,1.0,random,10,1.0,1.0,0.0,-0.00013758773045182692,-0.00013758773045182692,0.0,-0.001125425286591053,0.1726882015509891
Qwen3-8B,27,-1.0,ridge,10,1.0,1.0,0.0,3.936146773106941e-05,-3.936146773106941e-05,0.0,-4.0642828941345215,0.14945269107247752
Qwen3-8B,27,-1.0,random,10,1.0,1.0,0.0,-4.780490705593721e-05,4.780490705593721e-05,0.0,-0.0005492955446243286,0.14944553454934184
Qwen3-8B,27,1.0,ridge,10,1.0,1.0,0.0,0.0006365978998114308,0.0006365978998114308,0.0,4.0642496109008786,0.14943686959394592
Qwen3-8B,27,1.0,random,10,1.0,1.0,0.0,0.0002749472199241598,0.0002749472199241598,0.0,0.0005497798323631286,0.14944533098845442
Qwen3-8B,28,-1.0,ridge,10,1.0,1.0,0.0,2.1282598271410437e-05,-2.1282598271410437e-05,0.0,-3.1122437477111817,0.1196014599211895
Qwen3-8B,28,-1.0,random,10,1.0,1.0,0.0,5.539089743478165e-05,-5.539089743478165e-05,0.0,-0.0023779541254043577,0.11965673164503703
